Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day3,Firefox 62.0,,2018-07-26 15:25:01,2018-07-26 15:25:38,36.768s,PASSED
,,,,,,
Test Cases/Day3/Test2,Firefox 62.0,,2018-07-26 15:25:02,2018-07-26 15:25:38,36.325s,PASSED
openBrowser,Firefox 62.0,,2018-07-26 15:25:02,2018-07-26 15:25:28,25.824s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-26 15:25:28,2018-07-26 15:25:33,4.711s,PASSED
click,Firefox 62.0,,2018-07-26 15:25:33,2018-07-26 15:25:33,0.281s,PASSED
setText,Firefox 62.0,,2018-07-26 15:25:33,2018-07-26 15:25:33,0.065s,PASSED
setEncryptedText,Firefox 62.0,,2018-07-26 15:25:33,2018-07-26 15:25:34,0.258s,PASSED
click,Firefox 62.0,,2018-07-26 15:25:34,2018-07-26 15:25:36,2.352s,PASSED
closeBrowser,Firefox 62.0,,2018-07-26 15:25:36,2018-07-26 15:25:36,0.273s,PASSED
