Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orangeHRM,Chrome 67.0.3396.99,,2018-07-24 15:33:48,2018-07-24 15:34:55,1m - 6.097s,FAILED
,,,,,,
Test Cases/OrangeHRM1/OrangeHRM,Chrome 67.0.3396.99,OrangeHRM,2018-07-24 15:33:49,2018-07-24 15:34:54,1m - 5.141s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:33:49,2018-07-24 15:34:13,23.833s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:34:13,2018-07-24 15:34:18,4.793s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:34:18,2018-07-24 15:34:18,0.172s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:34:18,2018-07-24 15:34:19,0.326s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:34:19,2018-07-24 15:34:23,4.182s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-24 15:34:23,2018-07-24 15:34:33,10.024s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:34:33,2018-07-24 15:34:33,0.039s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:34:33,2018-07-24 15:34:33,0.025s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-24 15:34:33,2018-07-24 15:34:43,10.007s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:34:43,2018-07-24 15:34:45,2.569s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-24 15:34:45,2018-07-24 15:34:50,5.008s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:34:50,2018-07-24 15:34:51,0.103s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:34:51,2018-07-24 15:34:52,1.084s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:34:52,2018-07-24 15:34:52,0.318s,FAILED
