Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orangeHRM,Chrome 67.0.3396.99,,2018-07-24 15:51:06,2018-07-24 15:52:08,1m - 2.437s,PASSED
,,,,,,
Test Cases/OrangeHRM1/OrangeHRM,Chrome 67.0.3396.99,OrangeHRM,2018-07-24 15:51:06,2018-07-24 15:52:08,1m - 2.139s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:51:07,2018-07-24 15:51:29,22.708s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:51:29,2018-07-24 15:51:34,4.561s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:51:34,2018-07-24 15:51:34,0.159s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:51:34,2018-07-24 15:51:34,0.312s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:51:34,2018-07-24 15:51:38,3.850s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-24 15:51:38,2018-07-24 15:51:48,9.546s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:51:48,2018-07-24 15:51:48,0.049s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:51:48,2018-07-24 15:51:48,0.027s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-24 15:51:48,2018-07-24 15:51:57,9.529s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:51:57,2018-07-24 15:52:00,2.483s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-24 15:52:00,2018-07-24 15:52:05,4.766s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:52:05,2018-07-24 15:52:05,0.091s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:52:05,2018-07-24 15:52:06,1.031s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:52:06,2018-07-24 15:52:06,0.003s,NOT_RUN
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 15:52:06,2018-07-24 15:52:06,0.606s,PASSED
