Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
day2-1,Chrome 67.0.3396.99,,2018-07-25 11:16:25,2018-07-25 11:17:00,35.502s,PASSED
,,,,,,
Test Cases/DaY 2/Test2_global,Chrome 67.0.3396.99,Test2,2018-07-25 11:16:25,2018-07-25 11:17:00,35.156s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 11:16:26,2018-07-25 11:16:50,24.693s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 11:16:50,2018-07-25 11:16:55,4.762s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:16:55,2018-07-25 11:16:55,0.148s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:16:55,2018-07-25 11:16:55,0.168s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:16:55,2018-07-25 11:16:57,2.036s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 11:16:57,2018-07-25 11:16:58,0.617s,PASSED
