Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
day2-1,Chrome 67.0.3396.99,,2018-07-25 11:01:46,2018-07-25 11:02:19,33.073s,PASSED
,,,,,,
Test Cases/DaY 2/Test2_global,Chrome 67.0.3396.99,Test2,2018-07-25 11:01:47,2018-07-25 11:02:19,32.768s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 11:01:47,2018-07-25 11:02:11,23.823s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 11:02:11,2018-07-25 11:02:15,4.479s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:02:15,2018-07-25 11:02:15,0.154s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:02:15,2018-07-25 11:02:16,0.172s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:02:16,2018-07-25 11:02:17,0.969s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 11:02:17,2018-07-25 11:02:17,0.734s,PASSED
