Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Firefox 62.0,,2018-07-24 15:06:12,2018-07-24 15:08:07,1m - 55.013s,INCOMPLETE
,,,,,,
Test Cases/login/Test2,Firefox 62.0,Test2,2018-07-24 15:06:12,2018-07-24 15:07:09,57.464s,PASSED
openBrowser,Firefox 62.0,,2018-07-24 15:06:12,2018-07-24 15:06:38,25.985s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-24 15:06:38,2018-07-24 15:06:39,0.938s,PASSED
click,Firefox 62.0,,2018-07-24 15:06:39,2018-07-24 15:06:40,0.607s,PASSED
sendKeys,Firefox 62.0,,2018-07-24 15:06:40,2018-07-24 15:06:40,0.079s,PASSED
setEncryptedText,Firefox 62.0,,2018-07-24 15:06:40,2018-07-24 15:06:40,0.358s,PASSED
click,Firefox 62.0,,2018-07-24 15:06:40,2018-07-24 15:06:42,1.114s,PASSED
closeBrowser,Firefox 62.0,,2018-07-24 15:06:42,2018-07-24 15:06:42,0.457s,PASSED
openBrowser,Firefox 62.0,,2018-07-24 15:06:42,2018-07-24 15:07:07,25.398s,PASSED
refresh,Firefox 62.0,,2018-07-24 15:07:07,2018-07-24 15:07:07,0.043s,PASSED
,,,,,,
Test Cases/login/Test1,Firefox 62.0,Test1,2018-07-24 15:07:09,2018-07-24 15:08:07,57.268s,FAILED
openBrowser,Firefox 62.0,,2018-07-24 15:07:10,2018-07-24 15:07:36,25.875s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-24 15:07:36,2018-07-24 15:07:37,1.100s,PASSED
click,Firefox 62.0,,2018-07-24 15:07:37,2018-07-24 15:07:37,0.528s,PASSED
setText,Firefox 62.0,,2018-07-24 15:07:37,2018-07-24 15:07:37,0.061s,PASSED
setEncryptedText,Firefox 62.0,,2018-07-24 15:07:37,2018-07-24 15:07:37,0.063s,PASSED
click,Firefox 62.0,,2018-07-24 15:07:37,2018-07-24 15:07:38,1.127s,PASSED
closeBrowser,Firefox 62.0,,2018-07-24 15:07:38,2018-07-24 15:07:39,0.239s,PASSED
openBrowser,Firefox 62.0,,2018-07-24 15:07:39,2018-07-24 15:08:05,26.075s,FAILED
