Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day3,Chrome 67.0.3396.99,,2018-07-26 13:01:57,2018-07-26 13:02:32,34.727s,PASSED
,,,,,,
Test Cases/Day3/Test2,Chrome 67.0.3396.99,,2018-07-26 13:01:57,2018-07-26 13:02:32,34.476s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 13:01:58,2018-07-26 13:02:21,23.694s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 13:02:21,2018-07-26 13:02:26,4.818s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:02:26,2018-07-26 13:02:26,0.101s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 13:02:26,2018-07-26 13:02:26,0.101s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 13:02:26,2018-07-26 13:02:27,0.313s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:02:27,2018-07-26 13:02:29,2.194s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 13:02:29,2018-07-26 13:02:30,0.806s,PASSED
