Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day3,Chrome 67.0.3396.99,,2018-07-26 12:50:59,2018-07-26 12:51:35,36.765s,PASSED
,,,,,,
Test Cases/Day3/Test2,Chrome 67.0.3396.99,,2018-07-26 12:50:59,2018-07-26 12:51:35,36.414s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 12:50:59,2018-07-26 12:51:23,23.756s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 12:51:23,2018-07-26 12:51:28,4.769s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:51:28,2018-07-26 12:51:28,0.115s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 12:51:28,2018-07-26 12:51:28,0.111s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 12:51:28,2018-07-26 12:51:28,0.312s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:51:28,2018-07-26 12:51:33,4.173s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 12:51:33,2018-07-26 12:51:33,0.692s,PASSED
