Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day3,Firefox 62.0,,2018-07-26 13:03:21,2018-07-26 13:04:01,40.291s,PASSED
,,,,,,
Test Cases/Day3/Test2,Firefox 62.0,,2018-07-26 13:03:21,2018-07-26 13:04:01,39.999s,PASSED
openBrowser,Firefox 62.0,,2018-07-26 13:03:22,2018-07-26 13:03:50,27.683s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-26 13:03:50,2018-07-26 13:03:55,5.701s,PASSED
click,Firefox 62.0,,2018-07-26 13:03:55,2018-07-26 13:03:56,0.300s,PASSED
setText,Firefox 62.0,,2018-07-26 13:03:56,2018-07-26 13:03:56,0.069s,PASSED
setEncryptedText,Firefox 62.0,,2018-07-26 13:03:56,2018-07-26 13:03:56,0.253s,PASSED
click,Firefox 62.0,,2018-07-26 13:03:56,2018-07-26 13:03:59,3.347s,PASSED
closeBrowser,Firefox 62.0,,2018-07-26 13:03:59,2018-07-26 13:03:59,0.210s,PASSED
