Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day2TD,Chrome 67.0.3396.99,,2018-07-25 14:17:23,2018-07-25 14:18:02,39.673s,PASSED
,,,,,,
Test Cases/DaY 2/test3,Chrome 67.0.3396.99,,2018-07-25 14:17:23,2018-07-25 14:18:02,39.380s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 14:17:23,2018-07-25 14:17:47,24.041s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 14:17:47,2018-07-25 14:17:54,6.328s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 14:17:54,2018-07-25 14:17:54,0.104s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 14:17:54,2018-07-25 14:17:54,0.099s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 14:17:54,2018-07-25 14:17:54,0.093s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 14:17:54,2018-07-25 14:17:58,4.036s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 14:17:58,2018-07-25 14:18:00,1.575s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 14:18:00,2018-07-25 14:18:00,0.601s,PASSED
