Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day3,Firefox 62.0,,2018-07-26 15:27:52,2018-07-26 15:28:28,36.871s,PASSED
,,,,,,
Test Cases/Day3/Test2,Firefox 62.0,,2018-07-26 15:27:52,2018-07-26 15:28:28,36.445s,PASSED
openBrowser,Firefox 62.0,,2018-07-26 15:27:53,2018-07-26 15:28:18,25.729s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-26 15:28:18,2018-07-26 15:28:23,4.735s,PASSED
click,Firefox 62.0,,2018-07-26 15:28:23,2018-07-26 15:28:23,0.284s,PASSED
setText,Firefox 62.0,,2018-07-26 15:28:23,2018-07-26 15:28:23,0.076s,PASSED
setEncryptedText,Firefox 62.0,,2018-07-26 15:28:23,2018-07-26 15:28:24,0.270s,PASSED
click,Firefox 62.0,,2018-07-26 15:28:24,2018-07-26 15:28:26,2.436s,PASSED
closeBrowser,Firefox 62.0,,2018-07-26 15:28:26,2018-07-26 15:28:26,0.290s,PASSED
