Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day3,Firefox 62.0,,2018-07-26 15:11:07,2018-07-26 15:11:43,36.590s,PASSED
,,,,,,
Test Cases/Day3/Test2,Firefox 62.0,,2018-07-26 15:11:07,2018-07-26 15:11:43,36.278s,PASSED
openBrowser,Firefox 62.0,,2018-07-26 15:11:07,2018-07-26 15:11:33,25.698s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-26 15:11:33,2018-07-26 15:11:38,4.658s,PASSED
click,Firefox 62.0,,2018-07-26 15:11:38,2018-07-26 15:11:38,0.278s,PASSED
setText,Firefox 62.0,,2018-07-26 15:11:38,2018-07-26 15:11:38,0.068s,PASSED
setEncryptedText,Firefox 62.0,,2018-07-26 15:11:38,2018-07-26 15:11:38,0.252s,PASSED
click,Firefox 62.0,,2018-07-26 15:11:38,2018-07-26 15:11:41,2.510s,PASSED
closeBrowser,Firefox 62.0,,2018-07-26 15:11:41,2018-07-26 15:11:41,0.272s,PASSED
