Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orangeHRM,Firefox 62.0,,2018-07-24 15:36:47,2018-07-24 15:37:57,1m - 9.896s,FAILED
,,,,,,
Test Cases/OrangeHRM1/OrangeHRM,Firefox 62.0,OrangeHRM,2018-07-24 15:36:48,2018-07-24 15:37:57,1m - 8.814s,FAILED
openBrowser,Firefox 62.0,,2018-07-24 15:36:50,2018-07-24 15:37:18,28.344s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-24 15:37:18,2018-07-24 15:37:23,4.963s,PASSED
setText,Firefox 62.0,,2018-07-24 15:37:23,2018-07-24 15:37:23,0.100s,PASSED
setEncryptedText,Firefox 62.0,,2018-07-24 15:37:23,2018-07-24 15:37:23,0.269s,PASSED
click,Firefox 62.0,,2018-07-24 15:37:23,2018-07-24 15:37:26,2.441s,PASSED
delay,Firefox 62.0,,2018-07-24 15:37:26,2018-07-24 15:37:36,10.038s,PASSED
verifyElementPresent,Firefox 62.0,,2018-07-24 15:37:36,2018-07-24 15:37:36,0.035s,PASSED
verifyElementPresent,Firefox 62.0,,2018-07-24 15:37:36,2018-07-24 15:37:36,0.013s,PASSED
delay,Firefox 62.0,,2018-07-24 15:37:36,2018-07-24 15:37:46,10.006s,PASSED
click,Firefox 62.0,,2018-07-24 15:37:46,2018-07-24 15:37:49,2.858s,PASSED
delay,Firefox 62.0,,2018-07-24 15:37:49,2018-07-24 15:37:54,5.004s,PASSED
click,Firefox 62.0,,2018-07-24 15:37:54,2018-07-24 15:37:54,0.036s,PASSED
click,Firefox 62.0,,2018-07-24 15:37:54,2018-07-24 15:37:55,1.039s,PASSED
click,Firefox 62.0,,2018-07-24 15:37:55,2018-07-24 15:37:55,0.110s,FAILED
