Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
day2-1,Chrome 67.0.3396.99,,2018-07-25 11:20:31,2018-07-25 11:21:05,34.331s,PASSED
,,,,,,
Test Cases/DaY 2/Test2_global,Chrome 67.0.3396.99,Test2,2018-07-25 11:20:31,2018-07-25 11:21:05,33.987s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 11:20:32,2018-07-25 11:20:56,24.352s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 11:20:56,2018-07-25 11:21:01,4.787s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:21:01,2018-07-25 11:21:01,0.160s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 11:21:01,2018-07-25 11:21:01,0.244s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 11:21:01,2018-07-25 11:21:02,1.096s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 11:21:02,2018-07-25 11:21:03,0.622s,PASSED
