Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit1,Chrome 67.0.3396.99,,2018-07-24 13:02:00,2018-07-24 13:03:42,1m - 42.660s,PASSED
,,,,,,
Test Cases/login/Test2,Chrome 67.0.3396.99,Test2,2018-07-24 13:02:00,2018-07-24 13:02:50,50.664s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 13:02:00,2018-07-24 13:02:24,23.917s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 13:02:24,2018-07-24 13:02:25,0.745s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:02:25,2018-07-24 13:02:25,0.518s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-07-24 13:02:25,2018-07-24 13:02:25,0.123s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 13:02:25,2018-07-24 13:02:26,0.332s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:02:26,2018-07-24 13:02:27,1.100s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 13:02:27,2018-07-24 13:02:27,0.611s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 13:02:27,2018-07-24 13:02:50,22.984s,PASSED
refresh,Chrome 67.0.3396.99,,2018-07-24 13:02:50,2018-07-24 13:02:50,0.036s,PASSED
,,,,,,
Test Cases/login/Test1,Chrome 67.0.3396.99,Test1,2018-07-24 13:02:51,2018-07-24 13:03:41,50.797s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 13:02:51,2018-07-24 13:03:14,23.582s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 13:03:14,2018-07-24 13:03:15,0.583s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:03:15,2018-07-24 13:03:15,0.458s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 13:03:15,2018-07-24 13:03:15,0.170s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 13:03:15,2018-07-24 13:03:16,0.116s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:03:16,2018-07-24 13:03:17,1.092s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 13:03:17,2018-07-24 13:03:17,0.643s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 13:03:17,2018-07-24 13:03:40,22.981s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 13:03:40,2018-07-24 13:03:41,0.995s,PASSED
