Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day3,Firefox 62.0,,2018-07-26 15:12:22,2018-07-26 15:12:59,37.544s,PASSED
,,,,,,
Test Cases/Day3/Test2,Firefox 62.0,,2018-07-26 15:12:22,2018-07-26 15:12:59,37.223s,PASSED
openBrowser,Firefox 62.0,,2018-07-26 15:12:22,2018-07-26 15:12:48,25.696s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-26 15:12:48,2018-07-26 15:12:54,5.784s,PASSED
click,Firefox 62.0,,2018-07-26 15:12:54,2018-07-26 15:12:54,0.292s,PASSED
setText,Firefox 62.0,,2018-07-26 15:12:54,2018-07-26 15:12:54,0.069s,PASSED
setEncryptedText,Firefox 62.0,,2018-07-26 15:12:54,2018-07-26 15:12:54,0.280s,PASSED
click,Firefox 62.0,,2018-07-26 15:12:54,2018-07-26 15:12:57,2.405s,PASSED
closeBrowser,Firefox 62.0,,2018-07-26 15:12:57,2018-07-26 15:12:57,0.231s,PASSED
