Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day3,Firefox 62.0,,2018-07-26 15:09:57,2018-07-26 15:10:33,36.857s,PASSED
,,,,,,
Test Cases/Day3/Test2,Firefox 62.0,,2018-07-26 15:09:57,2018-07-26 15:10:33,36.512s,PASSED
openBrowser,Firefox 62.0,,2018-07-26 15:09:57,2018-07-26 15:10:23,25.815s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-26 15:10:23,2018-07-26 15:10:28,4.755s,PASSED
click,Firefox 62.0,,2018-07-26 15:10:28,2018-07-26 15:10:28,0.291s,PASSED
setText,Firefox 62.0,,2018-07-26 15:10:28,2018-07-26 15:10:28,0.099s,PASSED
setEncryptedText,Firefox 62.0,,2018-07-26 15:10:28,2018-07-26 15:10:29,0.332s,PASSED
click,Firefox 62.0,,2018-07-26 15:10:29,2018-07-26 15:10:31,2.525s,PASSED
closeBrowser,Firefox 62.0,,2018-07-26 15:10:31,2018-07-26 15:10:31,0.276s,PASSED
