Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orangeHRM,Chrome 67.0.3396.99,,2018-07-24 15:36:46,2018-07-24 15:37:57,1m - 10.376s,FAILED
,,,,,,
Test Cases/OrangeHRM1/OrangeHRM,Chrome 67.0.3396.99,OrangeHRM,2018-07-24 15:36:47,2018-07-24 15:37:56,1m - 9.272s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:36:48,2018-07-24 15:37:14,25.867s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:37:14,2018-07-24 15:37:19,4.813s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:37:19,2018-07-24 15:37:19,0.160s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:37:19,2018-07-24 15:37:19,0.325s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:37:19,2018-07-24 15:37:23,4.042s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-24 15:37:23,2018-07-24 15:37:33,10.022s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:37:33,2018-07-24 15:37:33,0.043s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:37:33,2018-07-24 15:37:33,0.023s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-24 15:37:33,2018-07-24 15:37:43,10.006s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:37:43,2018-07-24 15:37:46,2.586s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-24 15:37:46,2018-07-24 15:37:51,5.005s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:37:51,2018-07-24 15:37:51,0.102s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:37:51,2018-07-24 15:37:52,1.113s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:37:52,2018-07-24 15:37:54,2.228s,FAILED
