Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
day2-1,Chrome 67.0.3396.99,,2018-07-25 10:59:12,2018-07-25 10:59:45,33.437s,PASSED
,,,,,,
Test Cases/DaY 2/Test2_global,Chrome 67.0.3396.99,Test2,2018-07-25 10:59:12,2018-07-25 10:59:45,33.109s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-25 10:59:13,2018-07-25 10:59:36,23.807s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-25 10:59:36,2018-07-25 10:59:41,4.765s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 10:59:41,2018-07-25 10:59:41,0.142s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-25 10:59:41,2018-07-25 10:59:41,0.145s,PASSED
click,Chrome 67.0.3396.99,,2018-07-25 10:59:41,2018-07-25 10:59:42,1.016s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-25 10:59:42,2018-07-25 10:59:43,0.633s,PASSED
