Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day3,Chrome 67.0.3396.99,,2018-07-26 12:42:10,2018-07-26 12:42:47,37.091s,PASSED
,,,,,,
Test Cases/Day3/Test2,Chrome 67.0.3396.99,,2018-07-26 12:42:10,2018-07-26 12:42:47,36.793s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 12:42:11,2018-07-26 12:42:35,23.917s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 12:42:35,2018-07-26 12:42:40,4.794s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:42:40,2018-07-26 12:42:40,0.116s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 12:42:40,2018-07-26 12:42:40,0.106s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 12:42:40,2018-07-26 12:42:40,0.315s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:42:40,2018-07-26 12:42:44,4.079s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 12:42:44,2018-07-26 12:42:45,0.727s,PASSED
