Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orangeHRM,Chrome 67.0.3396.99,,2018-07-24 17:52:06,2018-07-24 17:53:21,1m - 15.487s,FAILED
,,,,,,
Test Cases/OrangeHRM1/OrangeHRM,Chrome 67.0.3396.99,OrangeHRM,2018-07-24 17:52:06,2018-07-24 17:53:20,1m - 14.605s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:52:06,2018-07-24 17:52:30,23.740s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:52:30,2018-07-24 17:52:34,4.482s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:52:34,2018-07-24 17:52:35,0.142s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:52:35,2018-07-24 17:52:35,0.304s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:52:35,2018-07-24 17:52:37,2.153s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-24 17:52:37,2018-07-24 17:52:47,10.022s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 17:52:47,2018-07-24 17:53:18,31.270s,FAILED
